property,propertyLabel
http://www.wikidata.org/entity/P713,Nickel-Strunz 10th (pending) edition
http://www.wikidata.org/entity/P714,Dana 8th edition
http://www.wikidata.org/entity/P715,Drugbank ID
http://www.wikidata.org/entity/P716,JPL Small-Body Database ID
http://www.wikidata.org/entity/P717,Minor Planet Center observatory code
http://www.wikidata.org/entity/P718,Canmore ID
http://www.wikidata.org/entity/P720,asteroid spectral type
http://www.wikidata.org/entity/P721,OKATO ID
http://www.wikidata.org/entity/P722,UIC station code
http://www.wikidata.org/entity/P723,DBNL author ID
http://www.wikidata.org/entity/P724,Internet Archive ID
http://www.wikidata.org/entity/P725,voice actor
http://www.wikidata.org/entity/P726,candidate
http://www.wikidata.org/entity/P727,Europeana ID
http://www.wikidata.org/entity/P728,GHS hazard statement
http://www.wikidata.org/entity/P729,service entry
http://www.wikidata.org/entity/P730,service retirement
http://www.wikidata.org/entity/P731,Litholex ID
http://www.wikidata.org/entity/P732,BGS Lexicon ID
http://www.wikidata.org/entity/P733,DINOloket
http://www.wikidata.org/entity/P734,family name
http://www.wikidata.org/entity/P735,given name
http://www.wikidata.org/entity/P736,cover artist
http://www.wikidata.org/entity/P737,influenced by
http://www.wikidata.org/entity/P739,ammunition
http://www.wikidata.org/entity/P740,location of formation
http://www.wikidata.org/entity/P741,playing hand
http://www.wikidata.org/entity/P742,pseudonym
http://www.wikidata.org/entity/P744,asteroid family
http://www.wikidata.org/entity/P745,Low German Bibliography and Biography ID
http://www.wikidata.org/entity/P746,date of disappearance
http://www.wikidata.org/entity/P747,edition(s)
http://www.wikidata.org/entity/P748,appointed by
http://www.wikidata.org/entity/P749,parent organization
http://www.wikidata.org/entity/P750,distributor
http://www.wikidata.org/entity/P751,introduced feature
http://www.wikidata.org/entity/P756,removed feature
http://www.wikidata.org/entity/P757,World Heritage Site ID
http://www.wikidata.org/entity/P758,Kulturminne ID
http://www.wikidata.org/entity/P759,Alberta Register of Historic Places ID
http://www.wikidata.org/entity/P760,DPLA ID
http://www.wikidata.org/entity/P761,Lake ID (Sweden)
http://www.wikidata.org/entity/P762,Czech cultural heritage ID
http://www.wikidata.org/entity/P763,PEI Register of Historic Places ID
http://www.wikidata.org/entity/P764,OKTMO ID
http://www.wikidata.org/entity/P765,surface played on
http://www.wikidata.org/entity/P767,contributor(s) to the subject
http://www.wikidata.org/entity/P768,electoral district
http://www.wikidata.org/entity/P769,significant drug interaction
http://www.wikidata.org/entity/P770,cause of destruction
http://www.wikidata.org/entity/P771,Swiss municipality code
http://www.wikidata.org/entity/P772,INE municipality code
http://www.wikidata.org/entity/P773,ISO 3166-3
http://www.wikidata.org/entity/P774,FIPS 55-3 (locations in the US)
http://www.wikidata.org/entity/P775,Swedish urban area code
http://www.wikidata.org/entity/P776,Swedish minor urban area code
http://www.wikidata.org/entity/P777,Swedish civil parish code/ATA code
http://www.wikidata.org/entity/P778,Church of Sweden parish code
http://www.wikidata.org/entity/P779,Church of Sweden Pastoratskod
http://www.wikidata.org/entity/P780,symptoms
http://www.wikidata.org/entity/P781,Sikart
http://www.wikidata.org/entity/P782,LAU
http://www.wikidata.org/entity/P783,hymenium type
http://www.wikidata.org/entity/P784,mushroom cap shape
http://www.wikidata.org/entity/P785,hymenium attachment
http://www.wikidata.org/entity/P786,stipe character
http://www.wikidata.org/entity/P787,spore print color
http://www.wikidata.org/entity/P788,mushroom ecological type
http://www.wikidata.org/entity/P789,edibility
http://www.wikidata.org/entity/P790,approved by
http://www.wikidata.org/entity/P791,ISIL
http://www.wikidata.org/entity/P792,chapter
http://www.wikidata.org/entity/P793,significant event
http://www.wikidata.org/entity/P794,as
http://www.wikidata.org/entity/P795,located on linear feature
http://www.wikidata.org/entity/P796,geo datum
http://www.wikidata.org/entity/P797,authority
http://www.wikidata.org/entity/P798,military designation
http://www.wikidata.org/entity/P799,Air Ministry specification ID
http://www.wikidata.org/entity/P800,notable work
http://www.wikidata.org/entity/P802,student
http://www.wikidata.org/entity/P803,professorship
http://www.wikidata.org/entity/P804,GNIS Antarctica ID
http://www.wikidata.org/entity/P805,subject of the statement
http://www.wikidata.org/entity/P806,Italian cadastre code
http://www.wikidata.org/entity/P807,separated from
http://www.wikidata.org/entity/P808,code Bien de Interés Cultural
http://www.wikidata.org/entity/P809,WDPA id
http://www.wikidata.org/entity/P811,academic minor
http://www.wikidata.org/entity/P812,academic major
http://www.wikidata.org/entity/P813,retrieved
http://www.wikidata.org/entity/P814,IUCN protected areas category
http://www.wikidata.org/entity/P815,ITIS TSN
http://www.wikidata.org/entity/P816,decays to
http://www.wikidata.org/entity/P817,decay mode
http://www.wikidata.org/entity/P818,arXiv ID
http://www.wikidata.org/entity/P819,ADS bibcode
